Rank	Token	No space  (nsp)	MTW  identifiers	First			Second		
				MWE identifier	Type	SEL	MWE identifier	Type	SEL
1	Gutenberg								
									
1	Cette								
2	exposition								
3	nous								
4	apprend								
5	que								
6	dès								
7	le								
8	XIIe								
9	siècle	nsp							
10	,								
11	à								
12	Dammarie-sur-Saulx	nsp							
13	,								
14	entre								
15	autres								
16	sites	nsp							
17	,								
18	une								
19	industrie								
20	métallurgique								
21	existait	nsp							
22	.								
									
1	à								
2	peu								
3	près								
4	au								
5	même								
6	moment								
7	que								
8	Gutenberg								
9	inventait								
10	l'	nsp							
11	imprimerie	nsp							
12	,								
13	Gillet								
14	Bonnemire								
15	créait								
16	en								
17	1450								
18	la								
19	première								
20	forge								
21	à								
22	Saint-Dizier	nsp							
23	,								
24	à								
25	l'	nsp							
26	actuel								
27	emplacement								
28	du								
29	CHS	nsp							
30	.								
									
1	Ensuite	nsp							
2	,								
3	fut								
4	installée								
5	une								
6	autre								
7	forge								
8	à								
9	la								
10	Vacquerie	nsp							
11	,								
12	à								
13	l'	nsp							
14	emplacement								
15	aujourd'	nsp							
16	hui								
17	de								
18	Cora	nsp							
19	.								
									
1	En								
2	1953	nsp							
3	,								
4	les								
5	hauts								
6	fourneaux								
7	et								
8	fonderies								
9	de								
10	Cousances								
11	virent			1	ID				
12	le			1					
13	jour	nsp		1					
14	,								
15	puis								
16	Jean								
17	Baudesson	nsp							
18	,								
19	maire								
20	échevin								
21	de								
22	Saint-Dizier	nsp							
23	,								
24	autorisé								
25	par								
26	lettres								
27	patentes								
28	d'	nsp							
29	Henri								
30	IV	nsp							
31	,								
32	installa								
33	à								
34	Marnaval								
35	-								
36	qui								
37	signifiait								
38	val								
39	ou								
40	vallée								
41	de								
42	la								
43	Marne								
44	ou								
45	bien								
46	en								
47	aval								
48	de								
49	la								
50	Marne								
51	-	nsp							
52	,								
53	une								
54	forge								
55	qui								
56	connut			2	LVC/_				
57	son								
58	apogée			2					
59	au								
60	XIXe								
61	siècle	nsp							
62	.								
									
1	Tout								
2	au								
3	long								
4	des								
5	années	nsp							
6	,								
7	de								
8	nouveaux								
9	sites								
10	furent								
11	créés	nsp							
12	,								
13	notamment								
14	à								
15	Haironville	nsp							
16	,								
17	puis								
18	plus								
19	tard								
20	à								
21	Ancerville	nsp							
22	.								
									
1	Amélioration								
2	de								
3	la								
4	sécurité								
									
1	Le								
2	maire								
3	a								
4	invité								
5	les								
6	membres								
7	du								
8	conseil								
9	à								
10	élaborer								
11	le								
12	programme								
13	d'	nsp							
14	amélioration								
15	de								
16	la								
17	voirie								
18	communale								
19	et								
20	de								
21	la								
22	sécurité								
