Rank	Token	No space  (nsp)	MTW  identifiers	First			Second				
				MWE identifier	Type	SEL	MWE identifier	Type	SEL		
1	Sara										
2	Jean										
3	Underwood	nsp									
4	:										
5	«	nsp									
6	Σπάει			1	ID						
7	ταμεία	nsp		1							
8	»										
9	με										
10	τη										
11	νέα										
12	της										
13	προκλητική										
14	φωτογράφιση	nsp									
15	.										
											
1	«	nsp									
2	Άφεση			1	LVC						
3	αμαρτιών	nsp		1							
4	»										
5	σε					SEL					
6	συμβάσεις										
7	για										
8	δημόσιες										
9	προμήθειες										
10	που										
11	δεν										
12	έχουν										
13	καταχωρισθεί										
14	από										
15	τις										
16	8										
17	Αυγούστου										
18	2015										
19	στο										
20	Κεντρικό										
21	Ηλεκτρονικό										
22	Μητρώο										
23	Δημοσίων										
24	Συμβάσεων										
25	(	nsp									
26	ΚΗΜΔΗΣ	nsp									
27	)										
28	δίνει			1							
29	η										
30	κυβέρνηση	nsp									
31	.										
											
1	«	nsp									
2	Έχουμε										
3	το										
4	πολύ										
5	δύο										
6	μήνες										
7	για										
8	να										
9	θέσουμε			1	LVC						
10	τα										
11	πράγματα										
12	υπό			1							
13	έλεγχο	nsp		1							
14	»										
15	είπε										
16	ο										
17	Τουσκ										
18	σε										
19	ομιλία										
20	του										
21	στο										
22	Ευρωπαϊκό										
23	Κοινοβούλιο	nsp									
24	,										
25	προσθέτοντας										
26	ότι										
27	αν										
28	δεν										
29	γίνει										
30	αυτό										
31	η										
32	ζώνη										
33	Σένγκεν										
34	θα										
35	αποτύχει	nsp									
36	.										
											
1	«	nsp									
2	Γύρισε			1	SENT						
3	το			1							
4	μυαλό			1							
5	μου	nsp									
6	»										
7	είπε										
8	ο										
9	παιδόφιλος										
10	του										
11	κυλικείου	nsp									
12	.										
											
1	«	nsp									
2	Η										
3	προσπάθειά										
4	μας										
5	εμάς										
6	είναι										
7	μέσα										
8	από										
9	αυτή										
10	την										
11	συνεργασία										
12	να										
13	έχουμε			1	LVC						
14	τη			1							
15	δυνατότητα			1							
16	να										
17	συμβάλλουμε										
18	κι										
19	εμείς	nsp									
20	,										
21	η										
22	μικρή										
23	Κύπρος										
24	με										
25	τα										
26	μέσα										
27	τα										
28	οποία										
29	διαθέτει	nsp									
30	,										
31	στην										
32	αντιμετώπιση										
33	πολλών										
34	από										
35	τα										
36	ζητήματα										
37	που										
38	ταλανίζουν										
39	σήμερα										
40	το										
41	Ελληνικό										
42	Κράτος										
43	και										
44	ειδικότερα	nsp									
45	,										
46	τα										
47	θέματα										
48	μετανάστευσης	nsp									
49	.										
											
1	«	nsp									
2	Μέχρι										
3	τώρα										
4	ήμασταν										
5	οι										
6	δυνάμεις										
7	του										
8	“	nsp									
9	όχι	nsp									
10	”	nsp									
11	,										
12	τώρα										
13	δεν										
14	μπορεί										
15	να										
16	μας										
17	λέει										
18	ακροδεξιά										
19	στοιχεία	nsp									
20	»	nsp									
21	,										
22	προσθέτοντας										
23	πως										
24	«	nsp									
25	δεν										
26	του										
27	επιτρέπεται										
28	να										
29	ρίχνει			1	ID						
30	λάδι			1							
31	στη			1							
32	φωτιά	nsp		1							
33	»	nsp									
34	.										
											
1	«	nsp									
2	Ο										
3	σεναριογράφος										
4	των										
5	 nsp 6 Συμμαθητών nsp 7 										
8	Γιώργος										
9	Φειδάς										
10	με										
11	έβαλε	nsp		1	ID						
12	.	nsp									
13	.	nsp									
14	.										
15	στο			1							
16	μάτι	nsp		1							
17	»										
18	λέει										
19	χαριτολογώντας	nsp									
20	.										
											
1	«	nsp									
2	Σε			1	ID						
3	χλωρό			1							
4	κλαρί	nsp		1							
5	»										
6	σχεδιάζουν										
7	να										
8	μην			1							
9	αφήσουν			1							
10	την										
11	κυβέρνηση										
12	οι										
13	αγρότες										
14	και										
15	πέρα										
16	από										
17	τα										
18	μπλόκα	nsp									
19	.										
											
1	«	nsp									
2	Στο					SEL					
3	κακό	nsp									
4	»										
5	πάει			1	ID						
6	το			1							
7	μυαλό			1							
8	των										
9	κατοίκων										
10	του										
11	Βελβεντού										
12	Κοζάνης	nsp									
13	.										
											
1	Άδεια			1	LVC						
2	να										
3	κόψει										
4	«	nsp									
5	φρέσκα	nsp									
6	»										
7	κέρματα										
8	πήρε			1							
9	το										
10	Υπουργείο										
11	Οικονομικών	nsp									
12	.										
											
