Rank	Token	No space  (nsp)	MTW  identifiers	First			Second		
				MWE identifier	Type	SEL	MWE identifier	Type	SEL
1	LONDRA	nsp							
2	.								
									
1	Gas								
2-3	dalla								
2	da								
3	la								
4	statua	nsp							
5	.								
									
1	LONDRA	nsp							
2	.								
									
1	Inconsueto								
2	allarme								
3-4	alla								
3	a								
4	la								
5	Tate								
6	Gallery	nsp							
7	:								
									
1	una								
2	sala								
3	ha								
4	dovuto								
5	essere								
6	sgomberata								
7	per								
8	una								
9	fuga								
10	di								
11	gas								
12	tossico								
13	da								
14	una								
15	scultura								
16	moderna								
17	in								
18	vetro								
19	che								
20	simboleggia								
21	"	nsp							
22	i								
23	pericoli								
24-25	della								
24	di								
25	la								
26	vita	nsp							
27	"	nsp							
28	.								
									
1	Rilevata								
2	la								
3	presenza								
4	di								
5	gas								
6	in								
7	uno								
8-9	dei								
8	di								
9	i								
10	tubi								
11	trasparenti								
12	che								
13	compongono								
14	l	nsp							
15	'	nsp							
16	opera	nsp							
17	,								
18	i								
19	guardiani								
20	hanno			1	LVC				
21	fatto			1					
22	scattare			1					
23	uno			1					
24	speciale								
25	piano			1					
26	d	nsp							
27	'	nsp							
28	emergenza								
29	e								
30	per								
31	45								
32	minuti								
33	i								
34	pompieri								
35	hanno								
36	isolato								
37	la								
38	sala	nsp							
39	.								
									
1	La								
2	scultura								
3	è								
4-5	del								
4	di								
5	il								
6	pachistano								
7	Hamad								
8	Butt	nsp							
9	:								
									
1	intitolata								
2	"	nsp							
3	Riti								
4	di								
5	Passaggio	nsp							
6	"	nsp							
7	,								
8	ha								
9	la								
10	forma								
11	di								
12	una								
13	scala								
14	e								
15-16	nei								
15	in								
16	i								
17	tubi								
18	contiene								
19	iodio	nsp							
20	,								
21	che								
22	scaldato								
23-24	dalle								
23	da								
24	le								
25	luci								
26	si								
27	è								
28	trasformato								
29	in								
30	gas	nsp							
31	.								
									
1	Hamad								
2	Butt								
3	è								
4	morto								
5-6	nel								
5	in								
6	il								
7	1994								
8	a								
9	32								
10	anni	nsp							
11	.								
									
1	Numerose								
2	sue								
3	opere								
4	contengono								
5	prodotti								
6	chimici								
7	tossici	nsp							
8	.								
									
1	Trionfo								
2	di								
3	Didoni								
4-5	nei								
4	in								
5	i								
6	20								
7	chilometri								
8	di								
9	marcia								
10	e								
11	di								
12	Fiona								
13	May								
14-15	nel								
14	in								
15	il								
16	lungo	nsp							
17	.								
									
1	Doppio								
2	oro	nsp							
3	,								
4	azzurri								
5	mondiali								
6-8	nell'								
6	in								
7	l	nsp							
8	'	nsp							
9	atletica	nsp							
10	.								
									
1	ha								
2	cominciato								
3	Michele								
4	Didoni	nsp							
5	,								
6	milanese								
7	di								
8	Quarto								
9	Oggiaro	nsp							
10	,								
11	con								
12	il								
13	titolo								
14-15	nella								
14	in								
15	la								
16	20								
17	km								
18	di								
19	marcia								
20	(	nsp							
21	De								
22	Benedictis	nsp							
23	,								
24	terzo	nsp							
25	,								
26	è								
27	stato								
28	poi								
29	squalificato	nsp							
30	)	nsp							
31	,								
32	ha								
33	finito								
34	la								
35	splendida								
36	Fiona								
37	May	nsp							
38	,								
39	londinese								
40	ora								
41	italiana								
42	grazie								
43-44	al								
43	a								
44	il								
45	matrimonio								
46	con								
47	l	nsp							
48	'	nsp							
49	astista								
50	lunghista								
51	Gianni								
52	Iapichino	nsp							
53	,								
54	con								
55	la								
56	vittoria								
57-57	nel								
57	in								
58	il								
59	lungo								
60	femminile	nsp							
61	.								
									
1	Fiona								
2	May								
3	con								
4	un								
5	salto								
6	a								
7	6,93	nsp							
8	,								
9	poi								
10	migliorato								
11	a								
12	6,98	nsp							
13	,								
14	è			1	LVC				
15	andata			1					
16	subito								
17	in			1					
18	testa			1					
19	in								
20	una								
21	gara								
22	che								
23	ha								
24	visto								
25	la								
26	clamorosa								
27	eliminazione								
28-29	della								
28	di								
29	la								
30	grande								
31	favorita	nsp							
32	,								
33	la								
34	tedesca								
35	Heike								
36	Drechsler	nsp							
37	.								
									
1	Commossa	nsp							
2	,								
3	Fiona								
4	May								
5	ha								
6	parlato	nsp							
7	,								
8	tramite								
9	la								
10	Tv	nsp							
11	,								
12-13	col								
12	con								
13	il								
14	marito								
15	rimasto								
16	a								
17	casa								
18	dedicando								
19	il								
20	trionfo								
21-22	al								
21	a								
22	il								
23	suo								
24	nuovo								
25	Paese	nsp							
26	:								
									
1	"	nsp							
2	Grazie								
3	Italia	nsp							
4	,								
5	ti								
6	ho								
7	dato								
8	l	nsp							
9	'	nsp							
10	oro	nsp							
11	"	nsp							
12	.								
									
1	MILANO	nsp							
2	:								
									
1	ore								
2	d	nsp							
3	'	nsp							
4	incubo								
5	per								
6	una								
7	ragazza								
8	sequestrata								
9	e								
10	violentata								
11	da								
12	due								
13	slavi	nsp							
14	.								
									
1	MILANO								
2	-								
3	Una								
4	ragazza								
5	è								
6	stata								
7	rapita								
8-10	all'								
8	a								
9	l	nsp							
10	'	nsp							
11	uscita								
12	di								
13	una								
14	discoteca								
15	e								
16	violentata								
17	per								
18	ore								
19	in								
20	un								
21	box	nsp							
22	,								
23	a								
24	Milano	nsp							
25	.								
									
1	Vittima	nsp							
2	,								
3	Gabriella								
4	F.	nsp							
5	,								
6	20								
7	anni	nsp							
8	,								
9	disoccupata	nsp							
10	,								
11	che								
12	poco								
13	prima								
14-15	delle								
14	di								
15	le								
16	6								
17	di								
18	ieri								
19	mattina								
20	si			1	VPC/_				
21	trovava			1					
22	in			1					
23	un								
24	parco								
25	con								
26	il								
27	fidanzato								
28	Paolo								
29	F.	nsp							
30	,								
31	27								
32	anni	nsp							
33	,								
34	rappresentante								
35	di								
36	articoli								
37	di								
38	cartoleria	nsp							
39	,								
40-42	all'								
40	a								
41	l	nsp							
42	'	nsp							
43	uscita								
44	di								
45	un								
46	locale								
47	vicino								
48-49	all'								
48	a								
49	l	nsp							
50	'	nsp							
51	aeroporto								
52	di								
53	Linate	nsp							
54	.								
									
1	La								
2	coppia								
3	è								
4	stata								
5	avvicinata								
6	da								
7	un	nsp							
8	'	nsp							
9	auto								
10	e								
11	aggredita								
12	da								
13	due								
14	persone								
15	armate								
16	di								
17	pistola	nsp							
18	,								
19	probabilmente								
20	due								
21	immigrati								
22-23	dell'								
22	di								
23	l	nsp							
24	'	nsp							
25	Europa								
26-26	dell'								
26	di								
27	l	nsp							
28	'	nsp							
29	Est	nsp							
30	.								
									
1	Per								
2	tutta								
3	la								
4	giornata								
5	i								
6	carabinieri								
7	hanno								
