Rank	Token	No space  (nsp)	MTW  identifiers	First			Second		
				MWE identifier	Type	SEL	MWE identifier	Type	SEL
1	BRASÍLIA								
2	Pesquisa								
3	Datafolha								
4	publicada								
5	hoje								
6	revela								
7	um								
8	dado								
9	supreendente	nsp							
10	:								
11	recusando								
12	uma								
13	postura								
14	radical	nsp							
15	,								
16	a								
17	esmagadora								
18	maioria								
19	(	nsp							
20	77	nsp							
21	%	nsp							
22	)								
23	dos								
24	eleitores								
25	quer								
26	o								
27	PT								
28	participando								
29	do								
30	Governo								
31	Fernando								
32	Henrique								
33	Cardoso	nsp							
34	.								
									
1	Tem								
2	sentido								
3	-	nsp							
4	-								
5	aliás	nsp							
6	,								
7	muitíssimo								
8	sentido	nsp							
9	.								
									
1	Muito								
2	mais								
3	do								
4	que								
5	nos								
6	tempos								
7	na								
8	ditadura	nsp							
9	,								
10	a								
11	solidez								
12	do								
13	PT								
14	está	nsp							
15	,								
16	agora	nsp							
17	,								
18	ameaçada	nsp							
19	.								
									
1	Nem								
2	Lula								
3	nem								
4	o								
5	partido								
6	ainda								
7	encontraram								
8	um								
9	discurso								
10	para								
11	se			1	OTH				
12	diferenciar	nsp		1					
13	.								
									
1	Eles								
2	se								
3	dizem								
4	oposição	nsp							
5	,								
6	mas								
7	ainda								
8	não								
9	informaram								
10	o								
11	que								
12	vão								
13	combater	nsp							
14	.								
									
1	Muitas								
2	das								
3	prioridades								
4	do								
5	novo								
6	governo								
7	coincidem								
8	com								
9	as								
10	prioridades								
11	do								
12	PT	nsp							
13	.								
									
1	Desde								
2	o								
3	último								
4	dia								
5	13	nsp							
6	,								
7	«	nsp							
8	Confissões								
9	de								
10	Adolescente	nsp							
11	»								
12	pode								
13	ser								
14	vista								
15	pelos								
16	teens								
17	portugueses	nsp							
18	.								
									
1	A								
2	série								
3	exibida								
4	aqui								
5	pela								
6	Cultura								
7	estreou								
8	na								
9	TVI								
10	de								
11	Portugal	nsp							
12	.								
									
1	Além								
2	disso	nsp							
3	,								
4	a								
5	co	nsp							
6	-	nsp							
7	produção								
8	com								
9	o								
10	canal								
11	francês								
12	TF1								
13	para								
14	a								
15	realização								
16	de								
17	mais								
18	30								
19	episódios								
20	continua								
21	sendo								
22	negociada	nsp							
23	.								
									
1	«	nsp							
2	Câmera								
3	Manchete	nsp							
4	»								
5	é								
6	o								
7	nome								
8	do								
9	novo								
10	programa								
11	jornalístico								
12	que								
13	estréia								
14	quarta	nsp							
15	-	nsp							
16	feira	nsp							
17	,								
18	às								
19	22h30	nsp							
20	,								
21	na								
22	Rede								
23	Manchete	nsp							
24	.								
									
1	Sob								
2	o								
3	comando								
4	de								
5	Ronaldo								
6	Rosas	nsp							
7	,								
8	o								
9	programa								
10	mostrará								
11	reportagens								
12	especiais								
13	de								
14	Sônia								
15	Pompeu	nsp							
16	.								
									
1	A								
2	direção								
3	do								
4	novo								
5	semanal								
6	será								
7	assinada								
8	por								
9	Ewaldo								
10	Ruy	nsp							
11	.								
									
1	Os								
2	jogadores								
3	se								
4	dividem								
5	pelos								
6	dez								
7	quartos								
8	do								
9	alojamento	nsp							
10	,								
11	equipados								
12	com								
13	frigobar	nsp							
14	,								
15	ar								
16	condicionado	nsp							
17	,								
18	televisão								
19	e								
20	telefone	nsp							
21	.								
									
1	«	nsp							
2	É								
3	uma								
4	coisa								
5	do								
6	Primeiro								
7	Mundo	nsp							
8	»	nsp							
9	,								
10	afirmou								
11	o								
12	levantador								
13	Maurício								
14	(	nsp							
15	leia								
16	matéria								
17	ao								
18	lado	nsp							
19	)	nsp							
20	.								
									
1	Além								
2	de								
3	Maurício	nsp							
4	,								
5	Carlão								
6	e								
7	Paulão	nsp							
8	,								
9	a								
10	seleção								
11	deve								
12	contar								
13	hoje								
14	com								
15	Giovane	nsp							
16	.								
									
1	O								
2	atacante	nsp							
3	,								
4	que								
5	deveria								
6	ter								
7	se								
8	apresentado								
9	anteontem								
10	à								
11	noite	nsp							
12	,								
13	pediu								
14	mais								
15	um								
16	dia								
17	de								
18	folga								
19	ao								
20	treinador	nsp							
21	.								
									
1	Na								
2	volta								
3	de								
4	uma								
5	viagem								
6	ao								
7	exterior	nsp							
8	,								
9	vale			1	ID				
10	a			1					
11	pena			1					
12	trazer								
13	uma								
14	impressora								
15	matricial	nsp							
16	.								
									
1	Free								
2	shops								
3	dos								
4	aeroportos								
5	internacionais								
6	também								
7	vendem								
8	o								
9	equipamento	nsp							
10	.								
									
1	O								
2	modelo								
3	LX								
4	810	nsp							
5	,								
6	da								
7	Epson	nsp							
8	,								
9	é								
10	vendido								
11	em								
12	Miami								
13	por								
14	US$								
15	178	nsp							
16	.								
									
1	O								
2	preço								
3	de								
4	lista								
5	nas								
6	revendas								
7	brasileiras								
8	é								
9	de								
10	US$								
11	422	nsp							
12	.								
									
1	Esse								
2	equilíbrio								
3	era								
4	tido								
5	como								
6	pré	nsp							
7	-	nsp							
8	condição								
9	para								
10	o								
11	sucesso								
12	do								
13	plano								
14	econômico	nsp							
15	.								
									
1	Parte								
2	dos								
3	recursos								
4	para								
5	a								
6	formação								
7	do								
8	FSE								
9	foi								
10	deslocado								
11	do								
12	orçamento								
13	da								
14	saúde								
15	e								
16	educação	nsp							
17	.								
									
1	Na								
2	época	nsp							
3	,								
4	o								
5	então								
6	ministro								
7	da								
8	Fazenda	nsp							
9	,								
10	Fernando								
11	Henrique								
12	Cardoso	nsp							
13	,								
14	fez			1	LVC				
15	um								
16	pronunciamento			1					
17	em								
18	cadeia								
19	nacional								
20	para								
21	anunciar								
22	a								
23	intenção								
24	do								
25	governo								
26	de								
27	destinar								
28	o								
29	FSE								
30	a								
31	investimentos								
32	sociais	nsp							
33	.								
									
1	O								
2	assessor								
3	de								
4	imprensa								
5	do								
6	Ministério								
7	da								
8	Fazenda	nsp							
9	,								
10	Sérgio								
11	Danese	nsp							
12	,								
13	disse								
14	ontem								
15	que								
16	o								
17	ministro								
18	da								
19	Fazenda	nsp							
20	,								
21	Rubens								
22	Ricúpero								
23	não								
24	iria								
25	comentar								
26	o								
27	assunto								
28	porque								
29	não								
30	tinha								
31	informações								
32	suficientes	nsp							
33	.								
									
1	O								
2	projeto								
3	original								
4	do								
5	governo								
6	destinava								
7	ao								
8	TSE								
9	R$								
10	334	nsp							
11	,	nsp							
12	9								
13	milhões	nsp							
14	.								
									
1	Como								
2	não								
3	houve								
4	acordo								
5	entre								
6	governo								
7	e								
8	tribunal								
9	quanto								
10	ao								
11	volume								
12	de								
13	recursos	nsp							
14	,								
15	a								
16	dotação								
17	foi								
18	incluída								
19	na								
20	reserva								
21	de								
22	contingência								
23	sem								
24	especificação								
25	de								
26	despesa	nsp							
27	.								
									
1	Posteriormente	nsp							
2	,								
3	diante								
4	da								
5	ameaça								
6	do								
7	tribunal								
8	de								
9	entrar			1	ID/LVC				
10	com			1					
11	uma								
12	ação			1					
13	judicial	nsp							
14	,								
15	o								
16	governo								
17	mandou								
18	ao								
19	Congresso								
20	uma								
21	alteração								
22	ao								
23	projeto	nsp							
24	,								
25	aumentando								
26	para								
27	R$								
28	452	nsp							
29	,	nsp							
30	7								
31	milhões								
32	a								
33	dotação								
34	do								
35	TSE	nsp							
36	.								
									
1	Essas								
2	medidas								
3	reduziram								
4	a								
5	disponibilidade								
6	de								
7	dinheiro								
8	no								
9	sistema								
10	bancário								
11	e								
12	os								
13	grandes								
14	bancos								
15	passaram								
16	a								
17	não								
18	fornecer								
19	recursos								
20	para								
21	as								
22	pequenas								
23	instituições	nsp							
24	.								
									
1	Quebraram								
2	aquelas								
3	que								
4	estavam								
5	«	nsp							
6	descasadas	nsp							
7	»	nsp							
8	,								
9	ou								
10	seja	nsp							
11	,								
12	que								
13	financiavam								
14	no								
15	mercado								
16	interbancário								
17	de								
18	um								
19	dia								
20	(	nsp							
21	CDI	nsp							
22	)								
23	os								
24	empréstimos								
25	e								
26	carteiras								
27	de								
28	títulos								
29	estaduais								
30	e								
31	municipais								
32	com								
33	prazos								
34	longos	nsp							
35	.								
									
1	Aqui								
2	só								
3	joga								
4	quem								
5	está								
6	bem	nsp							
7	.								
									
1	Ninguém								
2	força								
3	sua								
4	escalação								
5	porque								
6	há								
7	quem								
8	escale								
9	o								
10	time								
11	no								
12	São								
13	Paulo	nsp							
14	.								
									
1	Ele								
2	só								
3	não								
4	jogava								
5	porque								
6	não								
7	estava								
8	bem	nsp							
9	.								
									
1	Folha								
2	-	nsp							
3	-								
4	E								
5	o								
6	que								
7	o								
8	senhor								
9	acha								
10	do								
11	escândalo								
12	da								
13	arbitragem								
14	carioca	nsp							
15	?								
									
1	Apenas								
2	dois								
3	árbitros								
4	resolveram								
5	contar								
6	todos								
7	os								
8	podres	nsp							
