Rank	Token	No space  (nsp)	MTW  identifiers	First			Second		
				MWE identifier	Type	SEL	MWE identifier	Type	SEL
1	Rambouillet	nsp							
2	,								
3	punto	nsp							
4	de	nsp							
5	partida	nsp							
6	.								
									
1	El								
2	base								
3	yugoslavo								
4	admitió								
5	ayer	nsp							
6	,								
7	en								
8	la								
9	rueda								
10	de								
11	prensa								
12	de								
13	su								
14	despedida								
15	como								
16	azulgrana	nsp							
17	,								
18	que								
19	ha								
20	recibido								
21	una								
22	llamada								
23	del		A						
24	técnico								
25	italiano								
26	Sergio	nsp							
27	Scariolo	nsp							
28	,								
29	el								
30	próximo								
31	preparador								
32	madridista	nsp							
33	,								
34	interesándose		B	1	VPC				
35	por			1					
36	su								
37	futuro	nsp							
38	.								
									
1	Así	nsp							
2	,								
3	el								
4	acto								
5	del		A						
6	Juicio								
7	reflexionante								
8	lo								
9	ve								
10	Kant								
11	prefigurado								
12	en								
13	los								
14	animales								
15	bajo								
16	una								
17	forma								
18	instintiva	nsp							
19	,								
20	esto	nsp							
21	es	nsp							
22	,								
23	-								
24	no								
25	relativamente								
26	a								
27	un								
28	concepto								
29	que								
30	ese								
31	acto								
32	permitiría			1	LVC				
33	adquirir	nsp		1					
34	,								
35	sino								
36	relativamente								
37	a								
38	una								
39	inclinación								
40	que	nsp							
41	(								
42	ese								
43	acto	nsp							
44	)								
45	permitiría			2	LVC				
46	determinar	nsp		2					
47	.								
									
1	¿								
2	Vale	nsp		1	SENT				
3	la	nsp		1					
4	pena			1					
5	pagar								
6	120000								
7	pesetas								
8	por								
9	hectárea	nsp							
10	?	nsp							
11	.								
									
1	A	nsp							
2	pesar	nsp							
3	de								
4	la								
5	teórica								
6	igualdad								
7	de								
8	trato								
9	de								
10	su								
11	compañero								
12	de								
13	equipo	nsp							
14	,								
15	el								
16	brasileño								
17	Rubens	nsp							
18	Barrichello	nsp							
19	,								
20	que								
21	quedó			1	LVC				
22	demostrado			1					
23	en								
24	Canadá								
25	que								
26	no								
27	es								
28	así	nsp							
29	,								
30	al								
31	recibir								
32	órdenes								
33	del		A						
34	equipo								
35	para								
36	que								
37	se								
38	mantuviera								
39	a								
40	la								
41	espalda								
42	del		B						
43	alemán	nsp							
44	.								
									
1	Respecto	nsp							
2	a								
3	la								
4	gestión	nsp							
5	,								
6	su								
7	receta								
8	es								
9	simple	nsp							
10	:	nsp							
11	"								
12	lo								
13	bueno	nsp							
14	,								
15	repetirlo	nsp	A						
16	;								
17	lo								
18	malo	nsp							
19	,								
20	corregirlo	nsp	B						
21	"	nsp							
22	.								
									
1	Sobre								
2	el								
3	rival								
4	de								
5	mañana								
6	en								
7	el								
8	Santiago	nsp							
9	Bernabéu	nsp							
10	,								
11	el								
12	técnico								
13	salmantino								
14	mostró								
15	su								
16	profundo								
17	respeto	nsp							
18	:	nsp							
19	"								
20	es								
21	un								
22	equipo								
23	dotado			1	VPC				
24	de			1		SEL			
25	grandes								
26	jugadores								
27	y								
28	que								
29	tiene								
30	un								
31	entrenador								
32	que								
33	habla								
34	desde								
35	la								
36	cordura	nsp							
37	"	nsp							
38	.								
									
1	Los								
2	mercados								
3	recibieron								
4	los								
5	resultados								
6	de								
7	Telefónica								
8	con								
9	subidas	nsp							
10	,								
11	ya	nsp							
12	que								
13	habían								
14	previsto								
15	una								
16	reducción								
17	de								
18	los								
19	beneficios								
20	de								
21	hasta								
22	el								
23	0,06	nsp							
24	.								
									
1	Según								
2	Rivas	nsp							
3	,	nsp							
4	"								
5	es			1	SENT				
6	el			1					
7	turno			1					
8	del		A	1					
9	cine	nsp							
10	"	nsp							
11	.								
									
1	Esto	nsp							
2	,								
3	y								
4	los								
5	gritos								
6	que								
7	se								
8	oían	nsp							
9	,								
10	alarmaron			1	VPC				
11	a			1		SEL			
12	doña								
13	MPG	nsp							
14	,								
15	vecina								
16	de								
17	la								
18	víctima	nsp							
19	,								
20	quien								
21	salió								
22	de								
23	la	nsp							
24	suya								
25	y								
26	pudo			2	LVC				
27	seguir			2					
28	los								
29	acontecimientos								
30	desde								
31	el								
32	descansillo	nsp							
33	,								
34	a	nsp							
35	través	nsp							
36	de								
37	una								
38	rendija	nsp							
39	.								
									
1	Es			1	SENT				
2	que			1					
3	es								
4	muy								
5	tímido	nsp							
6	,	nsp							
7	¿								
8	sabes	nsp							
9	?	nsp							
10	.								
									
1	Según								
2	señaló			1	VPC				
3	Socorro								
4	a			1		SEL			
5	la								
6	prensa								
7	local	nsp							
8	,								
9	está			2	OTH				
10	dispuesto			2					
11	a			2					
12	vestir								
13	la								
14	camiseta								
15	de								
16	su								
17	país	nsp							
18	,								
19	después								
20	de								
21	tres								
22	años								
23	de								
24	ausencia	nsp							
25	.								
									
1	Por								
2	la								
3	mañana	nsp							
4	,								
5	unos								
6	200								
7	miembros								
8	de								
9	la								
10	Guardia	nsp							
11	Nacional								
12	también								
13	fueron								
14	desplegados								
15	por								
16	la								
17	zona	nsp							
18	.								
									
1	Respecto	nsp							
2	a								
3	su								
4	futuro	nsp							
5	,								
6	Toni	nsp							
7	,								
8	que								
9	tiene								
10	contrato								
11	con								
12	el								
13	Atlético								
14	hasta								
15	el								
16	junio	nsp							
17	del	nsp	A						
18	2002	nsp							
19	,								
20	anunció								
21	su								
22	premonición								
23	de								
24	que								
25	seguirá			1	LVC				
26	ligado			1			1	VPC	
27	al		B				1		
28	club								
29	madrileño	nsp							
30	.								
									
1	Van	nsp							
2	Gaal								
3	ha								
4	agravado								
5	el								
6	cisma								
7	que								
8	vive								
9	la								
10	directiva								
11	desde								
12	hace								
13	tiempo	nsp							
14	.								
									
1	A			1	VPC				
2	los								
3	jubilados								
4	les								
5	dijo	nsp		1		SEL			
6	:	nsp							
7	"								
8	Nunca								
9	les								
10	pediremos								
11	el								
12	voto								
13	a	nsp							
14	cambio	nsp							
15	de								
16	una								
17	pensión	nsp							
18	"	nsp							
19	.								
									
1	Sin	nsp							
2	embargo	nsp							
3	,								
4	la								
5	búsqueda								
6	de								
7	conductores								
8	orgánicos								
9	no								
10	se								
11	desarrolló								
12	hasta								
13	el								
14	descubrimiento								
15	del		A						
16	potente								
17	aceptor								
18	de								
19	electrones								
20	tetraciano-p-quinodima	nsp							
21	(								
22	TCNQ	nsp							
23	)								
24	en								
25	1960								
26	y								
27	el								
28	potente								
29	dador								
30	electrónico								
31	tetratiafulvaleno	nsp							
32	(								
33	TTF	nsp							
34	)								
35	en								
36	1970	nsp							
37	,								
38	lo								
39	que								
40	condujo			1	VPC				
41	en								
42	1973								
43	a			1					
44	su								
45	combinación								
46	para								
47	formar								
48	el								
49	complejo								
50	n-molecular								
51	dadoraceptor	nsp							
52	(								
53	TTF-TCNQ	nsp							
54	)	nsp							
55	(	nsp							
56	fig.								
57	3	nsp							
58	)	nsp							
59	,								
60	con								
61	una								
62	conductividad								
63	semejante								
64	a								
65	los								
66	metales	nsp							
67	(								
68	véase		B						
69	la								
70	tabla								
71	1	nsp							
72	)	nsp							
73	.								
									
1	A			1	VPC				
2	la								
3	inauguración								
4	del		A						
5	SITC								
6	han								
7	asistido			1					
8	también								
9	el								
10	presidente								
11	de								
12	la								
13	Feria	nsp							
14	de	nsp							
15	Barcelona	nsp							
16	,								
17	Antoni	nsp							
18	Negre	nsp							
19	,								
20	el								
21	director								
22	general								
23	de								
24	Turismo	nsp							
25	de	nsp							
26	Cataluña	nsp							
27	,								
28	Xavier	nsp							
29	Civit	nsp							
30	,								
31	y								
32	el								
33	concejal								
34	de								
35	Ayuntamiento	nsp							
36	de	nsp							
37	Barcelona	nsp							
38	,								
39	Jordi	nsp							
40	Portabella	nsp							
41	.								
									
1	En								
2	su								
3	opinión	nsp							
4	,								
5	el								
6	resultado								
7	del		A						
8	referéndum								
9	danés	nsp							
10	"								
11	es			1	SENT				
12	un			1					
13	paso			1					
14	atrás			1					
15	en			1		SEL			
16	la								
17	integración								
18	europea	nsp							
19	"								
20	que	nsp							
21	"								
22	muestra								
23	el								
24	miedo								
25	de								
26	la								
27	población								
28	de								
29	un								
30	país								
31	pequeño	nsp							
32	"								
33	a								
34	ese								
35	proceso								
36	y								
37	es	nsp		2	OTH				
